id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
7th Match (N),Ruturaj Gaikwad (c),Johnson,"['36', '62', '5', '1', '127.77']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",46
7th Match (N),Rachin Ravindra ,Rashid Khan,"['20', '29', '6', '3', '230.00']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",46
7th Match (N),Ajinkya Rahane ,Sai Kishore,"['12', '19', '0', '0', '100.00']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",12
7th Match (N),Shivam Dube ,Rashid Khan,"['23', '44', '2', '5', '221.73']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",51
7th Match (N),Daryl Mitchell ,Sharma,"['20', '41', '2', '0', '120.00']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",24
7th Match (N),Sameer Rizvi ,run out (Shankar/†Saha),"['6', '5', '0', '2', '233.33']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",14
7th Match (N),Ravindra Jadeja , - ,"['3', '5', '1', '0', '233.33']",Chennai Super Kings,Gujarat Titans, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",7
7th Match (N),Wriddhiman Saha †,Chahar,"['17', '28', '4', '0', '123.52']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",21
7th Match (N),Shubman Gill (c),Chahar,"['5', '17', '0', '1', '160.00']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",8
7th Match (N),Sai Sudharsan ,Pathirana,"['31', '61', '3', '0', '119.35']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",37
7th Match (N),Vijay Shankar ,Mitchell,"['12', '13', '0', '1', '100.00']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",12
7th Match (N),David Miller ,Deshpande,"['16', '22', '3', '0', '131.25']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",21
7th Match (N),Azmatullah Omarzai ,Deshpande,"['10', '17', '1', '0', '110.00']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",11
7th Match (N),Rahul Tewatia ,Mustafizur Rahman,"['11', '20', '1', '0', '54.54']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",6
7th Match (N),Rashid Khan ,Mustafizur Rahman,"['2', '2', '0', '0', '50.00']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",1
7th Match (N),Umesh Yadav , - ,"['11', '17', '0', '1', '90.90']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",10
7th Match (N),Spencer Johnson , - ,"['5', '6', '1', '0', '100.00']",Gujarat Titans,Chennai Super Kings, March 26 2024, Chennai,CSK won by 63 runs,"Gujarat Titans, elected to field first",5
