id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
1st Match (N),Virat Kohli ,Mustafizur Rahman,"['20', '46', '0', '1', '105.00']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",21
1st Match (N),Faf du Plessis (c),Mustafizur Rahman,"['23', '21', '8', '0', '152.17']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",35
1st Match (N),Rajat Patidar ,Mustafizur Rahman,"['3', '2', '0', '0', '0.00']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",0
1st Match (N),Glenn Maxwell ,Chahar,"['1', '2', '0', '0', '0.00']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",0
1st Match (N),Cameron Green ,Mustafizur Rahman,"['22', '20', '1', '0', '81.81']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",18
1st Match (N),Anuj Rawat †,run out (†Dhoni),"['25', '50', '4', '3', '192.00']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",48
1st Match (N),Dinesh Karthik , - ,"['26', '45', '3', '2', '146.15']",Royal Challengers Bengaluru,Chennai Super Kings, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",38
1st Match (N),Ruturaj Gaikwad (c),Yash Dayal,"['15', '19', '3', '0', '100.00']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",15
1st Match (N),Rachin Ravindra ,Sharma,"['15', '33', '3', '3', '246.66']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",37
1st Match (N),Ajinkya Rahane ,Green,"['19', '26', '0', '2', '142.10']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",27
1st Match (N),Daryl Mitchell ,Green,"['18', '23', '0', '2', '122.22']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",22
1st Match (N),Shivam Dube , - ,"['28', '43', '4', '1', '121.42']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",34
1st Match (N),Ravindra Jadeja , - ,"['17', '31', '0', '1', '147.05']",Chennai Super Kings,Royal Challengers Bengaluru, March 22 2024, Chennai,CSK won by 6 wickets (with 8 balls remaining),"Royal Challengers Bengaluru, elected to bat first",25
