id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
2nd Match (D/N),David Warner ,Patel,"['21', '35', '3', '2', '138.09']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",29
2nd Match (D/N),Mitchell Marsh ,Arshdeep Singh,"['12', '16', '2', '2', '166.66']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",20
2nd Match (D/N),Shai Hope ,Rabada,"['25', '30', '2', '2', '132.00']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",33
2nd Match (D/N),Rishabh Pant (c)†,Patel,"['13', '19', '2', '0', '138.46']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",18
2nd Match (D/N),Ricky Bhui ,Harpreet Brar,"['7', '33', '0', '0', '42.85']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",3
2nd Match (D/N),Tristan Stubbs ,Chahar,"['8', '14', '0', '0', '62.50']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",5
2nd Match (D/N),Axar Patel ,run out (sub [T Thyagarajan]/†Sharma),"['13', '18', '2', '1', '161.53']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",21
2nd Match (D/N),Sumit Kumar ,Arshdeep Singh,"['9', '18', '0', '0', '22.22']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",2
2nd Match (D/N),Abishek Porel ,run out (Shashank Singh/Patel),"['10', '17', '4', '2', '320.00']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",32
2nd Match (D/N),Kuldeep Yadav , - ,"['2', '1', '0', '0', '50.00']",Delhi Capitals,Punjab Kings, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",1
2nd Match (D/N),Shikhar Dhawan (c),Sharma,"['16', '17', '4', '0', '137.50']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",22
2nd Match (D/N),Jonny Bairstow ,run out (Sharma),"['3', '22', '2', '0', '300.00']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",9
2nd Match (D/N),Prabhsimran Singh ,Kuldeep Yadav,"['17', '32', '5', '0', '152.94']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",26
2nd Match (D/N),Sam Curran ,Ahmed,"['47', '72', '6', '1', '134.04']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",63
2nd Match (D/N),Jitesh Sharma †,Kuldeep Yadav,"['9', '11', '1', '0', '100.00']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",9
2nd Match (D/N),Liam Livingstone ,Ahmed,"['21', '38', '2', '3', '180.95']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",38
2nd Match (D/N),Shashank Singh , - ,"['1', '1', '0', '0', '0.00']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",0
2nd Match (D/N),Harpreet Brar , - ,"['2', '4', '0', '0', '100.00']",Punjab Kings,Delhi Capitals, March 23 2024, Mullanpur,PBKS won by 4 wickets (with 4 balls remaining),"Punjab Kings, elected to field first",2
