id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
3rd Match (N),Phil Salt †,Markande,"['40', '68', '3', '3', '135.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",54
3rd Match (N),Sunil Narine ,run out (Shahbaz Ahmed),"['4', '11', '0', '0', '50.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",2
3rd Match (N),Venkatesh Iyer ,Natarajan,"['5', '7', '1', '0', '140.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",7
3rd Match (N),Shreyas Iyer (c),Natarajan,"['2', '1', '0', '0', '0.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",0
3rd Match (N),Nitish Rana ,Markande,"['11', '18', '1', '0', '81.81']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",9
3rd Match (N),Ramandeep Singh ,Cummins,"['17', '20', '1', '4', '205.88']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",35
3rd Match (N),Rinku Singh ,Natarajan,"['15', '35', '3', '0', '153.33']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",23
3rd Match (N),Andre Russell , - ,"['25', '32', '3', '7', '256.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",64
3rd Match (N),Mitchell Starc , - ,"['3', '3', '1', '0', '200.00']",Kolkata Knight Riders,Sunrisers Hyderabad, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",6
3rd Match (N),Mayank Agarwal ,Harshit Rana,"['21', '27', '4', '1', '152.38']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",32
3rd Match (N),Abhishek Sharma ,Russell,"['19', '36', '4', '2', '168.42']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",32
3rd Match (N),Rahul Tripathi ,Narine,"['20', '33', '0', '1', '100.00']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",20
3rd Match (N),Aiden Markram ,Varun,"['13', '20', '2', '0', '138.46']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",18
3rd Match (N),Heinrich Klaasen †,Harshit Rana,"['29', '45', '0', '8', '217.24']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",63
3rd Match (N),Abdul Samad ,Russell,"['11', '20', '1', '1', '136.36']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",15
3rd Match (N),Shahbaz Ahmed ,Harshit Rana,"['5', '15', '1', '2', '320.00']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",16
3rd Match (N),Marco Jansen , - ,"['1', '3', '0', '0', '100.00']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",1
3rd Match (N),Pat Cummins (c), - ,"['1', '1', '0', '0', '0.00']",Sunrisers Hyderabad,Kolkata Knight Riders, March 23 2024, Eden Gardens,KKR won by 4 runs,"Sunrisers Hyderabad, elected to field first",0
