id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
4th Match (D/N),Yashasvi Jaiswal ,Mohsin Khan,"['12', '34', '3', '1', '200.00']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",24
4th Match (D/N),Jos Buttler ,Naveen-ul-Haq,"['9', '15', '2', '0', '122.22']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",11
4th Match (D/N),Sanju Samson (c)†,Naveen-ul-Haq,"['52', '89', '3', '6', '157.69']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",82
4th Match (D/N),Riyan Parag ,Ravi Bishnoi,"['29', '42', '1', '3', '148.27']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",43
4th Match (D/N),Shimron Hetmyer , - ,"['7', '7', '0', '0', '71.42']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",5
4th Match (D/N),Dhruv Jurel , - ,"['12', '20', '1', '1', '166.66']",Rajasthan Royals,Lucknow Super Giants, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",20
4th Match (D/N),Quinton de Kock ,Boult,"['5', '3', '1', '0', '80.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",4
4th Match (D/N),KL Rahul (c)†,Sandeep Sharma,"['44', '81', '4', '2', '131.81']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",58
4th Match (D/N),Devdutt Padikkal ,Boult,"['3', '9', '0', '0', '0.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",0
4th Match (D/N),Ayush Badoni ,Burger,"['5', '4', '0', '0', '20.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",1
4th Match (D/N),Deepak Hooda ,Chahal,"['13', '19', '2', '2', '200.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",26
4th Match (D/N),Nicholas Pooran ,Ashwin,"['41', '60', '4', '4', '156.09']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",64
4th Match (D/N),Marcus Stoinis , - ,"['4', '6', '0', '0', '75.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",3
4th Match (D/N),Krunal Pandya , - ,"['5', '12', '0', '0', '60.00']",Lucknow Super Giants,Rajasthan Royals, March 24 2024, Jaipur,RR won by 20 runs,"Rajasthan Royals, elected to bat first",3
