id,batsman,wicket_by,stats,batting_team,bowling_team,date,venue,winner,toss,runs_scored
5th Match (N),Wriddhiman Saha †,Bumrah,"['15', '18', '4', '0', '126.66']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",19
5th Match (N),Shubman Gill (c),Chawla,"['22', '35', '3', '1', '140.90']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",31
5th Match (N),Sai Sudharsan ,Bumrah,"['39', '58', '3', '1', '115.38']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",45
5th Match (N),Azmatullah Omarzai ,Coetzee,"['11', '17', '1', '1', '154.54']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",17
5th Match (N),David Miller ,Bumrah,"['11', '21', '1', '0', '109.09']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",12
5th Match (N),Vijay Shankar ,Coetzee,"['5', '23', '0', '0', '120.00']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",6
5th Match (N),Rahul Tewatia , - ,"['15', '15', '2', '1', '146.66']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",22
5th Match (N),Rashid Khan , - ,"['3', '4', '0', '0', '133.33']",Gujarat Titans,Mumbai Indians, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",4
5th Match (N),Ishan Kishan †,Azmatullah Omarzai,"['4', '2', '0', '0', '0.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",0
5th Match (N),Rohit Sharma ,Sai Kishore,"['29', '57', '7', '1', '148.27']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",43
5th Match (N),Naman Dhir ,Azmatullah Omarzai,"['10', '13', '3', '1', '200.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",20
5th Match (N),Dewald Brevis ,Sharma,"['38', '58', '2', '3', '121.05']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",46
5th Match (N),Tilak Varma ,Johnson,"['19', '33', '1', '1', '131.57']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",25
5th Match (N),Tim David ,Sharma,"['10', '12', '1', '0', '110.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",11
5th Match (N),Hardik Pandya (c),Yadav,"['4', '9', '1', '1', '275.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",11
5th Match (N),Gerald Coetzee ,Johnson,"['3', '3', '0', '0', '33.33']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",1
5th Match (N),Shams Mulani ,Yadav,"['1', '6', '0', '0', '100.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",1
5th Match (N),Piyush Chawla , - ,"['1', '1', '0', '0', '0.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",0
5th Match (N),Jasprit Bumrah , - ,"['1', '1', '0', '0', '100.00']",Mumbai Indians,Gujarat Titans, March 24 2024, Ahmedabad,GT won by 6 runs,"Mumbai Indians, elected to field first",1
